"CODE","tr"
"NAME","Türkçe"
"FIF_DESC","Varlıklarınızı bulun ve düzenleyin"
"FIF_SET_DM","Hata ayıklama ileti günlüğünü devre dışı bırak"
"FIF_SET_DMTP","İşaretlenirse hata ayıklama iletileri günlüğe kaydedilmez."
"FIF_SET_CMT","Ana araç çubuğunu ortalayın"
"FIF_SET_CMTTP","Ana araç çubuğu, belirli bir uzunluğu aşarsa ortalanır."
"FIF_SET_UL","Tümünü Aç"
"FIF_SET_ULTP","Kilitliyken bile öğeleri seçmenize ve yerleştirmenize izin verir."
"FIF_SET_BP","Bir sonraki kaydetmede kötü sahneleri düzeltir"
"FIF_SET_BPTP","Soruna neden olan tüm sahneleri kaldırın. Seçeneği işaretleyin ve kaydınızı yükleyin"
"FIF_SE_WF","Özel"
"FIF_SE_VF","Vanilla"
"FIF_SE_IA","Tümü"
"FIF_SE_IN","Ağ"
"FIF_SE_IP","Yerleştirilebilir"
"FIF_SE_IG","Yetiştirilebilir"
"FIF_SE_IR","RICO"
"FIF_SE_IPR","Destek"
"FIF_SE_ID","Çıkartma"
"FIF_SE_IT","Ağaç"
"FIF_SE_LV","Bina Seviyesi"
"FIF_SE_SZ","Boyut:"
"FIF_SE_SC","Birden fazla kategori seçmek için SHIFT veya CTRL tuşunu basılı tutun"
"FIF_PLOP_E","Elektrik"
"FIF_PLOP_W","Su/Kanalizasyon"
"FIF_PLOP_G","Çöp"
"FIF_PLOP_H","Sağlık"
"FIF_PLOP_F","İtfaiye"
"FIF_PLOP_P","Polis"
"FIF_PLOP_ED","Eğitim"
"FIF_PLOP_PT","Toplu Taşıma"
"FIF_PLOP_PPW","Park/Plaza/Vahşi Yaşam"
"FIF_PLOP_U","Eşsiz Binalar"
"FIF_PLOP_I","Endüstri"
"FIF_PLOP_D","Afet"
"FIF_PLOP_C","Kampüs"
"FIF_PLOP_V","Üniversite Sporları"
"FIF_PLOP_FI","Balıkçılık"
"FIF_GR_LDR","Düşük Yoğunluklu Konut"
"FIF_GR_HDR","Yüksek Yoğunluklu Konut"
"FIF_GR_LDRE","Düşük Yoğunluklu Konut ECO"
"FIF_GR_HDRE","Yüksek Yoğunluklu Konut ECO"
"FIF_GR_LDC","Düşük Yoğunluklu Ticari"
"FIF_GR_HDC","Yüksek Yoğunluklu Ticari"
"FIF_GR_CE","Ticari ECO"
"FIF_GR_O","Ofis"
"FIF_GR_ITC","Teknolojik Kümeler"
"FIF_GR_GI","Genel Endüstri"
"FIF_GR_FAI","Tarım Endüstrisi"
"FIF_GR_FOI","Orman Endüstrisi"
"FIF_GR_OII","Petrol Endüstrisi"
"FIF_GR_ORI","Maden Endüstrisi"
"FIF_GR_LC","Eğlence Ticareti"
"FIF_GR_TC","Turizm Ticareti"
"FIF_SO_RETP","Alaka düzeyine göre sıralayın. Orijinal Find It ile aynı"
"FIF_SO_NETP","En son indirilene göre sırala"
"FIF_SO_RE","Alaka"
"FIF_SO_NE","Son"
"TRN_CHOICE","Dili ayarla (RESTART gerekli)"
"TRN_SYS","Sistem dilini kullan"
"FIF_PROP_IND","Endüstriyel"
"FIF_PROP_PAR","Parklar"
"FIF_PROP_COM","Genel"
"FIF_PROP_RES","Konut"
"FIF_PROP_BIL","Panolar"
"FIF_PROP_SPE","Özel Panolar"
"FIF_PROP_LIG","Işıklar"
"FIF_PROP_NAT","Doğal"
"FIF_PROP_UNS","Sınıflandırılmamış"
"FIF_SET_KS","Ana Klavye Kısayolu"
"FIF_SE_IGR","Grwb/RICO"
"FIF_SET_CTFL","Özel Etiketler Dosya Konumu (Bu dosyayı düzenli aralıklarla yedeklemeyi unutmayın)"
"FIF_SET_CTFOP","Dosya Gezgini'nde Göster"
"FIF_SE_SCTP","Özel etiket panelini göster"
"FIF_POP_SCR","Yukarı/Aşağı kaydırmak için fare tekerleğini kullanın"
"FIF_POP_CON","Onayla"
"FIF_POP_CAN","İptal et"
"FIF_POP_NU","Bu geri alınamaz."
"FIF_CO_TIT","Birleştir"
"FIF_CO_MSG","Birleştirmek için mevcut bir etiket seçin."
"FIF_CO_CH","Seç"
