"CODE","id"
"NAME","Bahasa"
"FIF_DESC","Cari dan kelompokan asetmu"
"FIF_SET_DM","Nonaktifkan pesan debug logging"
"FIF_SET_DMTP","Jika dicentang, pesan debug tidak akan dicatat"
"FIF_SET_CMT","Pusatkan toolbar utama"
"FIF_SET_CMTTP","Toolbar utama akan dipusatkan jika melebihi panjang tertentu"
"FIF_SET_UL","Buka semua"
"FIF_SET_ULTP","Biarkan kamu memilih dan menempatkan item bahkan ketika terkunci"
"FIF_SET_BP","Perbaiki prop cacat saat memuat penyimpanan selanjutnya"
"FIF_SET_BPTP","Hapus semua prop penyebab masalah. Centang opsi dan memuat penyimpananmu"
"FIF_SE_WF","Kustom"
"FIF_SE_VF","Bawaan"
"FIF_SE_IA","Semua"
"FIF_SE_IN","Jaringan"
"FIF_SE_IP","Ploppable"
"FIF_SE_IG","Growable"
"FIF_SE_IR","RICO"
"FIF_SE_IPR","Prop"
"FIF_SE_ID","Stiker"
"FIF_SE_IT","Pohon"
"FIF_SE_LV","Tingkat Bangunan"
"FIF_SE_SZ","Ukuran"
"FIF_SE_SC","Tekan SHIFT atau CTRL untuk memilih banyak kategori"
"FIF_PLOP_E","Listrik"
"FIF_PLOP_W","Air/Saluran Limbah"
"FIF_PLOP_G","Sampah"
"FIF_PLOP_H","Kesehatan"
"FIF_PLOP_F","Pemadam Kebakaran"
"FIF_PLOP_P","Polisi"
"FIF_PLOP_ED","Pendidikan"
"FIF_PLOP_PT","Transportasi Publik"
"FIF_PLOP_PPW","Taman/Plaza/Alam Liar"
"FIF_PLOP_U","Bangunan Unik"
"FIF_PLOP_I","Industri"
"FIF_PLOP_D","Bencana"
"FIF_PLOP_C","Kampus"
"FIF_PLOP_V","Olahraga Kampus"
"FIF_PLOP_FI","Perikanan"
"FIF_GR_LDR","Pemukiman Kelas Bawah"
"FIF_GR_HDR","Pemukiman Kelas Atas"
"FIF_GR_LDRE","Pemukiman Kelas Bawah ECO"
"FIF_GR_HDRE","Pemukiman Kelas Atas ECO"
"FIF_GR_LDC","Pertokoan Kelas Bawah"
"FIF_GR_HDC","Pertokoan Kelas Atas"
"FIF_GR_CE","Pertokoan ECO"
"FIF_GR_O","Perkantoran"
"FIF_GR_ITC","Klaster IT"
"FIF_GR_GI","Industri Umum"
"FIF_GR_FAI","Industri Pertanian"
"FIF_GR_FOI","Industri Kehutanan"
"FIF_GR_OII","Industri Minyak"
"FIF_GR_ORI","Industri Pertambangan"
"FIF_GR_LC","Bisnis Hiburan"
"FIF_GR_TC","Bisnis Pariwisata"
"FIF_SO_RETP","Memilah berdasarkan relevansi. Sama seperti Find It aslinya"
"FIF_SO_NETP","Memilah berdasarkan yang paling baru diunduh"
"FIF_SO_RE","Relevansi"
